emdb_id,resolution,fitted_pdbs,deposition_date,map_release_date
EMD-4384,4.32,6gcs,2018-04-19T00:00:00Z,2018-10-10T00:00:00Z
EMD-7988,4.33,6dr2,2018-06-11T00:00:00Z,2018-07-18T00:00:00Z
EMD-7825,4.44,6d7t,2018-04-25T00:00:00Z,2018-07-18T00:00:00Z
EMD-7999,3.3,6drj,2018-06-12T00:00:00Z,2018-09-19T00:00:00Z
EMD-7297,3.7,6bwd,2017-12-14T00:00:00Z,2018-08-15T00:00:00Z
EMD-7298,4.1,6bwf,2017-12-14T00:00:00Z,2018-08-15T00:00:00Z
EMD-4368,3.2,6gaw,2018-04-13T00:00:00Z,2018-08-22T00:00:00Z
EMD-0081,3.9,6gxn,2018-06-27T00:00:00Z,2018-08-15T00:00:00Z
EMD-0076,3.8,6gwt,2018-06-25T00:00:00Z,2018-08-15T00:00:00Z
EMD-0082,3.9,6gxo,2018-06-27T00:00:00Z,2018-08-15T00:00:00Z
EMD-0083,4.4,6gxp,2018-06-27T00:00:00Z,2018-08-15T00:00:00Z
EMD-0150,3.72,6h6f,2018-07-27T00:00:00Z,2018-10-03T00:00:00Z
EMD-0185,3.8,6hbk,2018-08-10T00:00:00Z,2019-03-20T00:00:00Z
EMD-8936,4.29,6dzm,2018-07-05T00:00:00Z,2018-09-12T00:00:00Z
EMD-0188,3.7,6hbl,2018-08-10T00:00:00Z,2019-03-20T00:00:00Z
EMD-0231,3.39,6hix,2018-08-31T00:00:00Z,2018-09-26T00:00:00Z
EMD-6891,4.9,5z58,2018-01-17T00:00:00Z,2018-09-19T00:00:00Z
EMD-0232,3.27,6hiy,2018-08-31T00:00:00Z,2018-09-26T00:00:00Z
EMD-0233,3.08,6hiz,2018-08-31T00:00:00Z,2018-09-26T00:00:00Z
EMD-8934,3.6,6dzk,2018-07-05T00:00:00Z,2018-09-19T00:00:00Z
EMD-9101,4.4,6mdn,2018-09-04T00:00:00Z,2018-09-19T00:00:00Z
EMD-9102,3.9,6mdo,2018-09-04T00:00:00Z,2018-09-19T00:00:00Z
EMD-9103,3.8,6mdp,2018-09-04T00:00:00Z,2018-09-19T00:00:00Z
EMD-0234,3.3,6hjn,2018-09-04T00:00:00Z,2018-09-26T00:00:00Z
EMD-0198,3.5,6hcr,2018-08-16T00:00:00Z,2019-08-28T00:00:00Z
EMD-0100,3.5,6gz5,2018-07-03T00:00:00Z,2018-12-05T00:00:00Z
EMD-0099,3.6,6gz4,2018-07-03T00:00:00Z,2018-12-05T00:00:00Z
EMD-0153,1.9,,2018-07-31T00:00:00Z,2018-12-26T00:00:00Z
EMD-0178,4.0,,2018-08-08T00:00:00Z,2019-08-21T00:00:00Z
EMD-9655,3.8,,2018-09-21T00:00:00Z,2018-12-12T00:00:00Z
EMD-0238,3.42,6hko,2018-09-07T00:00:00Z,2019-04-03T00:00:00Z
EMD-0172,3.78,6h82,2018-08-01T00:00:00Z,2019-04-03T00:00:00Z
EMD-0182,3.36,6hbh,2018-08-10T00:00:00Z,2019-03-20T00:00:00Z
EMD-0217,4.05,6hht,2018-08-29T00:00:00Z,2019-03-20T00:00:00Z
EMD-0253,4.5,,2018-09-25T00:00:00Z,2018-11-21T00:00:00Z
EMD-0204,4.5,6hdd,2018-08-17T00:00:00Z,2019-08-28T00:00:00Z
EMD-0227,3.2,6hiq,2018-08-30T00:00:00Z,2018-11-07T00:00:00Z
EMD-0226,4.2,6hio,2018-08-30T00:00:00Z,2018-11-07T00:00:00Z
EMD-0225,4.1,6hin,2018-08-30T00:00:00Z,2018-11-07T00:00:00Z
EMD-9196,3.82,6mrd,2018-10-12T00:00:00Z,2020-04-15T00:00:00Z
EMD-9195,3.08,6mrc,2018-10-12T00:00:00Z,2020-04-15T00:00:00Z
EMD-9223,3.0,,2018-10-16T00:00:00Z,2018-11-14T00:00:00Z
EMD-9215,2.8,,2018-10-16T00:00:00Z,2018-11-14T00:00:00Z
EMD-9243,4.1,6mu1,2018-10-22T00:00:00Z,2018-12-05T00:00:00Z
EMD-9244,3.9,6mu2,2018-10-22T00:00:00Z,2018-12-05T00:00:00Z
EMD-9255,3.1,6mut,2018-10-23T00:00:00Z,2018-12-12T00:00:00Z
EMD-9294,3.8,6myy,2018-11-02T00:00:00Z,2018-11-14T00:00:00Z
EMD-9253,3.1,6mur,2018-10-23T00:00:00Z,2018-12-12T00:00:00Z
EMD-9254,3.6,6mus,2018-10-23T00:00:00Z,2018-12-12T00:00:00Z
EMD-9241,3.8,,2018-10-19T00:00:00Z,2018-11-14T00:00:00Z
EMD-9295,3.8,,2018-11-02T00:00:00Z,2018-11-14T00:00:00Z
EMD-9318,4.0,6n1r,2018-11-10T00:00:00Z,2018-12-05T00:00:00Z
EMD-9600,3.4,6acu,2018-07-27T00:00:00Z,2018-11-21T00:00:00Z
EMD-9605,4.2,6ad1,2018-07-28T00:00:00Z,2018-11-21T00:00:00Z
EMD-9603,4.3,6acz,2018-07-28T00:00:00Z,2018-11-21T00:00:00Z
EMD-9604,3.9,6ad0,2018-07-28T00:00:00Z,2018-11-21T00:00:00Z
EMD-9601,4.0,6acw,2018-07-27T00:00:00Z,2018-11-21T00:00:00Z
EMD-9602,3.4,6acy,2018-07-28T00:00:00Z,2018-11-21T00:00:00Z
EMD-9298,4.5,6mzc,2018-11-05T00:00:00Z,2018-11-28T00:00:00Z
EMD-9327,3.3,6n2d,2018-11-12T00:00:00Z,2019-02-20T00:00:00Z
EMD-9300,4.2,,2018-11-05T00:00:00Z,2018-11-28T00:00:00Z
EMD-9299,4.5,,2018-11-05T00:00:00Z,2018-11-28T00:00:00Z
EMD-9341,3.7,6n38,2018-11-14T00:00:00Z,2018-12-26T00:00:00Z
EMD-9332,4.0,6n2p,2018-11-13T00:00:00Z,2019-07-03T00:00:00Z
EMD-9342,3.7,,2018-11-14T00:00:00Z,2018-12-26T00:00:00Z
EMD-9343,3.9,,2018-11-14T00:00:00Z,2018-12-26T00:00:00Z
EMD-9345,5.0,,2018-11-14T00:00:00Z,2019-04-17T00:00:00Z
EMD-4410,4.7,6i52,2018-11-12T00:00:00Z,2018-12-19T00:00:00Z
EMD-9280,4.4,6mx4,2018-10-30T00:00:00Z,2018-12-19T00:00:00Z
EMD-0209,4.85,6he4,2018-08-20T00:00:00Z,2018-12-26T00:00:00Z
EMD-0360,3.6,6n7p,2018-11-27T00:00:00Z,2019-09-18T00:00:00Z
EMD-4489,3.97,6qb8,2018-12-20T00:00:00Z,2019-07-03T00:00:00Z
EMD-4504,3.22,6qcc,2018-12-27T00:00:00Z,2019-05-01T00:00:00Z
EMD-0299,3.5,6hy0,2018-10-18T00:00:00Z,2019-06-12T00:00:00Z
EMD-9166,4.8,6mn7,2018-10-01T00:00:00Z,2019-03-06T00:00:00Z
EMD-0300,4.0,,2018-10-18T00:00:00Z,2019-06-12T00:00:00Z
EMD-0346,4.0,6n52,2018-11-20T00:00:00Z,2019-01-23T00:00:00Z
EMD-0459,3.5,,2019-01-14T00:00:00Z,2019-02-13T00:00:00Z
EMD-0397,4.1,6nav,2018-12-06T00:00:00Z,2019-05-08T00:00:00Z
EMD-0438,3.7,6ncv,2018-12-12T00:00:00Z,2019-01-23T00:00:00Z
EMD-0230,3.37,6hiw,2018-08-31T00:00:00Z,2018-09-26T00:00:00Z
EMD-6921,3.4,5zep,2018-02-27T00:00:00Z,2018-09-26T00:00:00Z
EMD-6920,3.4,5zeb,2018-02-27T00:00:00Z,2018-09-26T00:00:00Z
EMD-6922,3.2,5zet,2018-02-28T00:00:00Z,2018-09-26T00:00:00Z
EMD-6923,3.7,5zeu,2018-02-28T00:00:00Z,2018-09-26T00:00:00Z
EMD-0235,3.3,6hjp,2018-09-04T00:00:00Z,2018-09-26T00:00:00Z
EMD-0236,4.1,6hjq,2018-09-04T00:00:00Z,2018-09-26T00:00:00Z
EMD-0237,4.2,6hjr,2018-09-04T00:00:00Z,2018-09-26T00:00:00Z
EMD-0245,4.8,,2018-09-13T00:00:00Z,2018-10-17T00:00:00Z
